                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4995,                 2.6612,                 2.5609,                0.19471,                0.23586,                0.17481,                0.09307,                 1.7381,                 1.7152,                 1.7256,              0.0033292,              0.0033292,              0.0033292
                      2,                 1.9014,                 1.9302,                 1.7316,                0.28975,                0.30299,                 0.2394,                0.13624,                 1.5936,                 1.7032,                 1.5182,              0.0066186,              0.0066186,              0.0066186
                      3,                 1.8258,                 1.8254,                 1.6312,                0.35635,                0.31625,                0.27905,                0.16137,                 1.5727,                 1.4773,                 1.4649,              0.0098639,              0.0098639,              0.0098639
                      4,                 1.7697,                 1.7408,                 1.5654,                0.39332,                 0.3475,                0.32507,                0.18991,                 1.5177,                 1.3973,                 1.4166,               0.009802,               0.009802,               0.009802
                      5,                   1.72,                 1.6459,                 1.5175,                0.44834,                0.35847,                0.34373,                 0.2016,                  1.499,                 1.3234,                 1.3907,               0.009802,               0.009802,               0.009802
                      6,                 1.6768,                 1.5682,                 1.4834,                0.41703,                 0.3755,                0.35364,                0.21041,                 1.4861,                 1.2919,                 1.3717,               0.009736,               0.009736,               0.009736
                      7,                  1.659,                 1.5231,                 1.4643,                 0.4634,                0.37485,                0.37248,                0.22079,                 1.4693,                 1.2575,                 1.3614,                0.00967,                0.00967,                0.00967
                      8,                 1.6328,                 1.4816,                 1.4477,                0.47253,                0.38705,                0.38166,                 0.2287,                 1.4486,                 1.2172,                 1.3444,               0.009604,               0.009604,               0.009604
                      9,                 1.6184,                 1.4507,                 1.4308,                0.47341,                0.38905,                0.38962,                 0.2354,                 1.4267,                 1.2052,                  1.333,               0.009538,               0.009538,               0.009538
                     10,                 1.6027,                 1.4179,                 1.4225,                0.48478,                0.40544,                 0.4051,                0.24343,                 1.4227,                 1.1825,                 1.3274,               0.009472,               0.009472,               0.009472
                     11,                 1.5873,                 1.3899,                   1.41,                0.49583,                0.40912,                0.40732,                0.24537,                 1.4196,                 1.1707,                   1.32,               0.009406,               0.009406,               0.009406
                     12,                 1.5813,                 1.3775,                 1.3998,                 0.4917,                0.43088,                0.41606,                0.25018,                 1.4157,                 1.1539,                 1.3166,                0.00934,                0.00934,                0.00934
                     13,                 1.5675,                 1.3479,                 1.3861,                0.49546,                0.42258,                0.41671,                0.25125,                 1.4074,                 1.1653,                  1.311,               0.009274,               0.009274,               0.009274
                     14,                  1.556,                 1.3413,                  1.391,                0.51663,                0.41962,                0.42777,                0.25772,                 1.3983,                 1.1295,                 1.3029,               0.009208,               0.009208,               0.009208
                     15,                 1.5515,                 1.3252,                 1.3818,                0.50613,                0.42013,                0.42581,                0.25814,                 1.3974,                 1.1289,                 1.2982,               0.009142,               0.009142,               0.009142
                     16,                 1.5451,                  1.317,                 1.3772,                0.52457,                 0.4133,                0.42945,                0.25984,                 1.3965,                 1.1216,                 1.2965,               0.009076,               0.009076,               0.009076
                     17,                 1.5474,                 1.3082,                 1.3698,                0.52384,                0.42677,                0.43788,                 0.2647,                 1.3808,                  1.108,                 1.2865,                0.00901,                0.00901,                0.00901
                     18,                 1.5397,                 1.2968,                 1.3647,                0.52925,                0.43646,                0.44079,                0.26669,                 1.3829,                 1.0998,                 1.2865,               0.008944,               0.008944,               0.008944
                     19,                 1.5217,                 1.2739,                 1.3559,                0.51812,                0.43988,                0.44434,                0.27088,                 1.3776,                 1.1014,                  1.281,               0.008878,               0.008878,               0.008878
                     20,                 1.5144,                 1.2661,                  1.353,                 0.5344,                0.42935,                0.44297,                0.26759,                 1.3715,                 1.0997,                  1.279,               0.008812,               0.008812,               0.008812
                     21,                 1.5173,                 1.2619,                 1.3474,                0.52754,                0.43537,                0.44768,                0.27267,                 1.3679,                 1.0879,                 1.2729,               0.008746,               0.008746,               0.008746
                     22,                 1.5152,                 1.2584,                 1.3512,                0.53452,                0.43132,                0.45174,                 0.2756,                 1.3679,                 1.0775,                 1.2717,                0.00868,                0.00868,                0.00868
                     23,                 1.5064,                  1.241,                 1.3393,                 0.5316,                0.44073,                0.45536,                0.27986,                 1.3591,                  1.071,                  1.266,               0.008614,               0.008614,               0.008614
                     24,                 1.5073,                  1.244,                 1.3426,                0.52622,                0.44553,                0.45421,                0.27712,                 1.3622,                 1.0617,                  1.268,               0.008548,               0.008548,               0.008548
                     25,                 1.4971,                 1.2343,                 1.3377,                0.53727,                0.43899,                0.45509,                0.27755,                 1.3677,                 1.0688,                 1.2703,               0.008482,               0.008482,               0.008482
                     26,                  1.503,                 1.2361,                  1.334,                0.54495,                0.45128,                0.46796,                0.28519,                 1.3534,                  1.051,                 1.2598,               0.008416,               0.008416,               0.008416
                     27,                 1.4956,                 1.2206,                 1.3259,                0.54381,                0.44884,                0.46776,                0.28664,                  1.358,                 1.0572,                 1.2582,                0.00835,                0.00835,                0.00835
                     28,                 1.4885,                 1.2152,                 1.3217,                0.54091,                0.45811,                0.47336,                0.29077,                 1.3562,                 1.0499,                  1.254,               0.008284,               0.008284,               0.008284
                     29,                 1.5012,                 1.2263,                  1.325,                0.55295,                 0.4487,                 0.4715,                0.28989,                 1.3606,                 1.0578,                 1.2516,               0.008218,               0.008218,               0.008218
                     30,                 1.4967,                 1.2185,                 1.3192,                  0.544,                0.45211,                0.47039,                0.28882,                 1.3589,                 1.0637,                 1.2482,               0.008152,               0.008152,               0.008152
                     31,                 1.4994,                 1.2188,                 1.3147,                0.56649,                0.44698,                0.47456,                0.29059,                 1.3625,                 1.0571,                 1.2481,               0.008086,               0.008086,               0.008086
                     32,                 1.4925,                 1.2123,                 1.3085,                0.56366,                0.45343,                0.47636,                0.29147,                 1.3638,                 1.0525,                 1.2459,                0.00802,                0.00802,                0.00802
                     33,                 1.4899,                 1.2079,                 1.3037,                0.55982,                0.44865,                0.47181,                0.29115,                 1.3581,                 1.0558,                 1.2404,               0.007954,               0.007954,               0.007954
                     34,                   1.49,                 1.2073,                  1.302,                0.55956,                 0.4597,                0.47949,                0.29468,                 1.3575,                 1.0479,                 1.2391,               0.007888,               0.007888,               0.007888
                     35,                 1.4838,                 1.1926,                 1.3008,                0.55757,                0.45633,                0.47709,                0.29392,                  1.365,                 1.0485,                 1.2394,               0.007822,               0.007822,               0.007822
                     36,                  1.486,                 1.1983,                 1.2949,                0.57148,                0.46126,                0.48438,                0.29633,                 1.3559,                  1.042,                 1.2341,               0.007756,               0.007756,               0.007756
                     37,                 1.4907,                 1.2011,                 1.2963,                0.56936,                0.45556,                0.48011,                0.29663,                 1.3529,                 1.0391,                 1.2341,                0.00769,                0.00769,                0.00769
                     38,                 1.4761,                 1.1868,                 1.2884,                0.56527,                0.46112,                0.48199,                0.29676,                 1.3504,                 1.0416,                 1.2312,               0.007624,               0.007624,               0.007624
                     39,                 1.4748,                 1.1813,                 1.2876,                0.56328,                0.46186,                0.48152,                0.29649,                 1.3496,                   1.04,                 1.2289,               0.007558,               0.007558,               0.007558
                     40,                 1.4736,                  1.182,                 1.2885,                0.57584,                 0.4561,                0.48489,                0.29856,                 1.3485,                 1.0343,                 1.2279,               0.007492,               0.007492,               0.007492
                     41,                 1.4747,                 1.1743,                  1.289,                0.57468,                0.46201,                0.48889,                0.30016,                 1.3508,                 1.0273,                 1.2268,               0.007426,               0.007426,               0.007426
                     42,                 1.4696,                 1.1744,                 1.2846,                0.57518,                 0.4606,                0.48797,                0.30104,                 1.3458,                  1.033,                 1.2248,                0.00736,                0.00736,                0.00736
                     43,                 1.4667,                 1.1682,                 1.2796,                0.56279,                0.46975,                0.49037,                0.30365,                 1.3437,                  1.028,                 1.2226,               0.007294,               0.007294,               0.007294
                     44,                 1.4615,                 1.1567,                 1.2752,                0.58203,                0.46666,                 0.4901,                0.30304,                 1.3435,                 1.0256,                 1.2232,               0.007228,               0.007228,               0.007228
                     45,                 1.4633,                 1.1668,                 1.2847,                0.55911,                0.47764,                0.49078,                0.30289,                 1.3435,                 1.0238,                 1.2209,               0.007162,               0.007162,               0.007162
                     46,                 1.4589,                 1.1583,                 1.2731,                0.57601,                0.47298,                 0.4917,                0.30377,                 1.3459,                   1.02,                 1.2215,               0.007096,               0.007096,               0.007096
                     47,                 1.4638,                 1.1655,                 1.2736,                0.57441,                0.46998,                0.49427,                 0.3045,                 1.3475,                 1.0213,                 1.2212,                0.00703,                0.00703,                0.00703
                     48,                 1.4565,                 1.1569,                 1.2695,                0.56765,                0.47836,                0.49625,                0.30591,                 1.3434,                 1.0158,                 1.2204,               0.006964,               0.006964,               0.006964
                     49,                  1.457,                 1.1548,                 1.2694,                 0.5818,                 0.4727,                 0.4951,                 0.3065,                 1.3466,                 1.0148,                 1.2199,               0.006898,               0.006898,               0.006898
                     50,                 1.4498,                 1.1465,                 1.2661,                0.57341,                0.47445,                0.49793,                0.30741,                 1.3434,                 1.0081,                 1.2172,               0.006832,               0.006832,               0.006832
                     51,                 1.4547,                 1.1448,                 1.2671,                0.57006,                0.47654,                0.49752,                0.30837,                 1.3382,                 1.0067,                 1.2169,               0.006766,               0.006766,               0.006766
                     52,                  1.455,                 1.1438,                 1.2627,                0.57203,                0.47369,                0.49626,                0.30831,                 1.3395,                 1.0115,                 1.2146,                 0.0067,                 0.0067,                 0.0067
